part,alpha,weight_balancing,model,split,dice,hausdorff
,,,CHAOS_CT_2d_baseline,train,0.11295046763800878,72.61189270019531
,,,CHAOS_CT_2d_baseline,val,0.11250726214288749,72.61918640136719
,,,CHAOS_CT_2d_baseline,test,0.11636563190970116,72.81912994384766
,,,CHAOS_MR_2d_baseline,train,0.021151911875755363,80.41910552978516
,,,CHAOS_MR_2d_baseline,val,0.020214301453456627,80.37940979003906
,,,CHAOS_MR_2d_baseline,test,0.02069123633491964,80.42383575439453
,,,MMWHS_CT_2d_baseline,train,0.02288951990948088,74.79591369628906
,,,MMWHS_CT_2d_baseline,val,0.022954349515418113,74.79057312011719
,,,MMWHS_CT_2d_baseline,test,0.02218213086668343,74.82909393310547
,,,MMWHS_MR_2d_baseline,train,0.012604432785063019,75.48145294189453
,,,MMWHS_MR_2d_baseline,val,0.012583512848618106,75.5097885131836
,,,MMWHS_MR_2d_baseline,test,0.012126641242533742,75.475341796875
1,0.8,,CHAOS_CT_2d_finetuned,train,0.9764024190504437,
1,0.8,,CHAOS_CT_2d_finetuned,val,0.9682788694799962,
1,0.8,,CHAOS_CT_2d_finetuned,test,0.9689946199268396,
1,0.8,,CHAOS_MR_2d_finetuned,train,0.9042345444513051,
1,0.8,,CHAOS_MR_2d_finetuned,val,0.8337340874318474,
1,0.8,,CHAOS_MR_2d_finetuned,test,0.8408232468140707,
1,0.8,,CHAOS_composite_at_CT,train,0.8513808267183002,10.059442520141602
1,0.8,,CHAOS_composite_at_CT,val,0.8529247952234799,10.076236724853516
1,0.8,,CHAOS_composite_at_CT,test,0.8496120965840102,9.993045806884766
1,0.8,,CHAOS_composite_at_MR,train,0.24282459083660302,29.80928611755371
1,0.8,,CHAOS_composite_at_MR,val,0.23366410571235247,29.37156105041504
1,0.8,,CHAOS_composite_at_MR,test,0.23731944261882804,29.18777847290039
1,0.8,,CT_composite_at_CHAOS,train,0.7240934787289043,37.256038665771484
1,0.8,,CT_composite_at_CHAOS,val,0.7202437812648049,37.24311065673828
1,0.8,,CT_composite_at_CHAOS,test,0.7294181331542232,37.32181167602539
1,0.8,,CT_composite_at_MMWHS,train,0.5304576871308204,16.82245445251465
1,0.8,,CT_composite_at_MMWHS,val,0.5257242491217745,16.801130294799805
1,0.8,,CT_composite_at_MMWHS,test,0.5186887235557288,16.818689346313477
1,0.8,,MMWHS_CT_2d_finetuned,train,0.9661931596355452,
1,0.8,,MMWHS_CT_2d_finetuned,val,0.9587428538969834,
1,0.8,,MMWHS_CT_2d_finetuned,test,0.958211259228636,
1,0.8,,MMWHS_MR_2d_finetuned,train,0.9271477790639642,
1,0.8,,MMWHS_MR_2d_finetuned,val,0.8982059044328209,
1,0.8,,MMWHS_MR_2d_finetuned,test,0.9017868272462063,
1,0.8,,MMWHS_composite_at_CT,train,0.49893916916307546,15.12806510925293
1,0.8,,MMWHS_composite_at_CT,val,0.49504702296901887,15.06017780303955
1,0.8,,MMWHS_composite_at_CT,test,0.495886534803371,15.074495315551758
1,0.8,,MMWHS_composite_at_MR,train,0.17517272503096296,22.2009220123291
1,0.8,,MMWHS_composite_at_MR,val,0.1648619402646216,22.23531723022461
1,0.8,,MMWHS_composite_at_MR,test,0.17652667505669586,22.227798461914062
1,0.8,,MR_composite_at_CHAOS,train,0.15957540279972568,18.714954376220703
1,0.8,,MR_composite_at_CHAOS,val,0.13152999290802783,18.430566787719727
1,0.8,,MR_composite_at_CHAOS,test,0.14146499637113708,18.45722007751465
1,0.8,,MR_composite_at_MMWHS,train,0.36979039074298264,11.935495376586914
1,0.8,,MR_composite_at_MMWHS,val,0.34865968886585985,12.026860237121582
1,0.8,,MR_composite_at_MMWHS,test,0.35651896949047884,12.014699935913086
1,1.0,,CHAOS_composite_at_CT,train,0.8527983911630191,15.354117393493652
1,1.0,,CHAOS_composite_at_CT,val,0.8513537970051915,15.34765911102295
1,1.0,,CHAOS_composite_at_CT,test,0.849494857598355,15.39437484741211
1,1.0,,CHAOS_composite_at_MR,train,0.22503989370142807,32.69114303588867
1,1.0,,CHAOS_composite_at_MR,val,0.2083647509673019,32.290740966796875
1,1.0,,CHAOS_composite_at_MR,test,0.24287959429333628,32.0080680847168
1,1.0,,CT_composite_at_CHAOS,train,0.5785226986247144,41.0360107421875
1,1.0,,CT_composite_at_CHAOS,val,0.5721671392879807,41.12201690673828
1,1.0,,CT_composite_at_CHAOS,test,0.5929206647411465,41.169612884521484
1,1.0,,CT_composite_at_MMWHS,train,0.37823907646198157,21.051586151123047
1,1.0,,CT_composite_at_MMWHS,val,0.37326069872953443,21.048683166503906
1,1.0,,CT_composite_at_MMWHS,test,0.3699834166794421,21.087282180786133
1,1.0,,MMWHS_composite_at_CT,train,0.4339523537303976,17.50969123840332
1,1.0,,MMWHS_composite_at_CT,val,0.43140757034506033,17.477123260498047
1,1.0,,MMWHS_composite_at_CT,test,0.4296219672447168,17.474384307861328
1,1.0,,MMWHS_composite_at_MR,train,0.13501025900256802,25.194517135620117
1,1.0,,MMWHS_composite_at_MR,val,0.11479420425881001,25.400785446166992
1,1.0,,MMWHS_composite_at_MR,test,0.1285388218371541,25.368022918701172
1,1.0,,MR_composite_at_CHAOS,train,0.1506893956792765,20.672985076904297
